x,y,z,old_flag,new_flag
280.64,129.49,0.0,0,0
279.64,129.49,0.0,0,0
278.64,129.49,0.0,0,0
277.64,129.49,0.0,0,0
276.64,129.49,0.0,0,0
275.64,129.49,0.0,0,0
274.64,129.49,0.0,0,0
273.64,129.49,0.0,0,0
272.64,129.49,0.0,0,0
271.64,129.49,0.0,0,0
270.64,129.49,0.0,0,0
269.64,129.49,0.0,0,0
268.64,129.49,0.0,0,0
267.64,129.49,0.0,0,0
266.64,129.49,0.0,0,0
265.64,129.49,0.0,0,0
264.64,129.49,0.0,0,0
263.64,129.49,0.0,0,0
262.64,129.49,0.0,0,0
261.64,129.49,0.0,0,0
260.64,129.49,0.0,0,0
259.64,129.49,0.0,0,0
258.64,129.49,0.0,0,0
257.64,129.48,0.0,0,0
256.64,129.48,0.0,0,0
255.64,129.48,0.0,0,0
254.64,129.48,0.0,0,0
253.64,129.48,0.0,0,0
252.64,129.48,0.0,0,0
251.64,129.48,0.0,0,0
250.64,129.48,0.0,0,0
249.64,129.48,0.0,0,0
248.64,129.48,0.0,0,0
247.64,129.48,0.0,0,0
246.64,129.48,0.0,0,0
245.64,129.48,0.0,0,0
244.64,129.48,0.0,0,0
243.64,129.48,0.0,0,0
242.64,129.48,0.0,0,0
241.64,129.48,0.0,0,0
240.64,129.48,0.0,0,0
239.64,129.48,0.0,0,0
238.64,129.48,0.0,0,0
237.64,129.48,0.0,0,0
236.64,129.48,0.0,0,0
235.64,129.47,0.0,0,0
234.64,129.47,0.0,0,0
233.64,129.47,0.0,0,0
232.64,129.47,0.0,0,0
231.64,129.47,0.0,0,0
230.64,129.47,0.0,0,0
229.64,129.47,0.0,0,0
228.64,129.47,0.0,0,0
227.64,129.47,0.0,0,0
226.64,129.47,0.0,0,0
225.64,129.47,0.0,0,0
224.64,129.47,0.0,0,0
223.64,129.47,0.0,0,0
222.64,129.47,0.0,0,0
221.64,129.47,0.0,0,0
220.64,129.47,0.0,0,0
219.64,129.47,0.0,0,0
218.64,129.47,0.0,0,0
217.64,129.47,0.0,0,0
216.64,129.47,0.0,0,0
215.64,129.47,0.0,0,0
214.64,129.47,0.0,0,0
213.64,129.47,0.0,0,0
212.64,129.46,0.0,0,0
211.64,129.46,0.0,0,0
210.64,129.46,0.0,0,0
209.64,129.46,0.0,0,0
208.64,129.46,0.0,0,0
207.64,129.46,0.0,0,0
206.64,129.46,0.0,0,0
205.64,129.46,0.0,0,0
204.64,129.46,0.0,0,0
203.64,129.46,0.0,0,0
202.64,129.46,0.0,0,0
201.64,129.46,0.0,0,0
200.64,129.46,0.0,0,0
199.64,129.46,0.0,0,0
198.64,129.46,0.0,0,0
197.64,129.46,0.0,0,0
196.64,129.46,0.0,0,0
195.64,129.46,0.0,0,0
194.64,129.46,0.0,0,0
193.64,129.46,0.0,0,0
192.64,129.46,0.0,0,0
191.64,129.46,0.0,0,0
190.64,129.45,0.0,0,0
